                   PID    PPID
containerd-shim  1891253 849419    0 /usr/bin/containerd-shim-runc-v2 -namespace k8s.io -address /run/containerd/containerd.sock -publish-binary /usr/bin/containerd -id 94788ed2bb4fc42d68b4dd39691396e90a1fac4d872024b6199c2d00235dfaaf start
containerd-shim  1891260 1891253   0 /usr/bin/containerd-shim-runc-v2 -namespace k8s.io -id 94788ed2bb4fc42d68b4dd39691396e90a1fac4d872024b6199c2d00235dfaaf -address /run/containerd/containerd.sock
runc             1891269 1891260   0 /usr/bin/runc --root /run/containerd/runc/k8s.io --log /run/containerd/io.containerd.runtime.v2.task/k8s.io/94788ed2bb4fc42d68b4dd39691396e90a1fac4d872024b6199c2d00235dfaaf/log.json --log-format json --systemd-cgroup create --bundle /run/containerd/io.containerd.runtime.v2.task/k8s.io/94788ed2bb4fc42d68b4dd39691396e90a1fac4d872024b6199c2d00235dfaaf --pid-file /run/containerd/io.containerd.runtime.v2.task/k8s.io/94788ed2bb4fc42d68b4dd39691396e90a1fac4d872024b6199c2d00235dfaaf/init.pid 94788ed2bb4fc42d68b4dd39691396e90a1fac4d872024b6199c2d00235dfaaf
exe              1891277 1891269   0 /proc/self/exe init
runc             1891286 1891260   0 /usr/bin/runc --root /run/containerd/runc/k8s.io --log /run/containerd/io.containerd.runtime.v2.task/k8s.io/94788ed2bb4fc42d68b4dd39691396e90a1fac4d872024b6199c2d00235dfaaf/log.json --log-format json --systemd-cgroup start 94788ed2bb4fc42d68b4dd39691396e90a1fac4d872024b6199c2d00235dfaaf
pause            1891280 1891260   0 /pause
containerd-shim  1891299 849419    0 /usr/bin/containerd-shim-runc-v2 -namespace k8s.io -address /run/containerd/containerd.sock -publish-binary /usr/bin/containerd -id 122a273e47eec7cd7dff9e92e9d82ee22dca8890bbbe924a98626bee9076a5e2 start
runc             1891306 1891260   0 /usr/bin/runc --root /run/containerd/runc/k8s.io --log /run/containerd/io.containerd.runtime.v2.task/k8s.io/122a273e47eec7cd7dff9e92e9d82ee22dca8890bbbe924a98626bee9076a5e2/log.json --log-format json --systemd-cgroup create --bundle /run/containerd/io.containerd.runtime.v2.task/k8s.io/122a273e47eec7cd7dff9e92e9d82ee22dca8890bbbe924a98626bee9076a5e2 --pid-file /run/containerd/io.containerd.runtime.v2.task/k8s.io/122a273e47eec7cd7dff9e92e9d82ee22dca8890bbbe924a98626bee9076a5e2/init.pid 122a273e47eec7cd7dff9e92e9d82ee22dca8890bbbe924a98626bee9076a5e2
exe              1891314 1891306   0 /proc/self/exe init
runc             1891324 1891260   0 /usr/bin/runc --root /run/containerd/runc/k8s.io --log /run/containerd/io.containerd.runtime.v2.task/k8s.io/122a273e47eec7cd7dff9e92e9d82ee22dca8890bbbe924a98626bee9076a5e2/log.json --log-format json --systemd-cgroup start 122a273e47eec7cd7dff9e92e9d82ee22dca8890bbbe924a98626bee9076a5e2
sleep            1891317 1891260   0 /bin/sleep 100
